ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
603063.SH,202605131430,61.86,61.86,61.86,61.86,20700,1280502,9.99,0.0
603828.SH,202605131430,5.6,5.6,5.6,5.6,0,0,-4.92,0.0
000034.SZ,202605131430,42.83,42.83,42.84,42.83,62000,2655683,2.49,-0.02
