ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
603063.SH,202605121030,57.54,57.4,57.54,57.39,143300,8230204,1.32,-0.24
603828.SH,202605121030,5.8,5.81,5.82,5.8,56300,326847,-0.17,0.17
000034.SZ,202605121030,41.55,41.51,41.55,41.51,64100,2661780,-2.6,-0.14
