ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
002364.SZ,202605131305,47.7,47.71,47.73,47.68,78019,3722445.3,8.43,0.02
002439.SZ,202605131305,16.8,16.81,16.81,16.79,348400,5854089.0,5.39,0.06
