ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
688485.SH,202605121430,60.57,60.58,60.61,60.55,19578,1185946,-4.48,0.0
300819.SZ,202605121430,83.2,83.37,83.37,82.97,59000,4905743,-2.76,0.2
002484.SZ,202605121430,44.85,44.88,44.88,44.78,312900,14029734,-2.71,0.09
