ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
300819.SZ,202605111042,85.99,86.77,86.78,85.99,40600,3507600,8.39,0.9
603828.SH,202605111042,5.82,5.82,5.82,5.82,0,0,5.05,0.0
