ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
603063.SH,202605121125,56.3,56.29,56.34,56.25,50800,2858998,-0.64,-0.02
603828.SH,202605121125,5.61,5.6,5.62,5.6,114100,640185,-3.78,-0.36
000034.SZ,202605121125,41.77,41.68,41.78,41.68,102700,4286120,-2.21,-0.24
