pre_close,open,high,low,close,vwap,chg,pct_chg,volume,amt,turn,thscode,time
51.5,51.8,56.65,51.8,56.65,55.209584411186,5.15,10.0,49266918,2720006068.0,10.720939382776,603063.SH,2026-05-11
5.54,5.82,5.82,5.67,5.82,5.7981367826243,0.28,5.0541516245487,4544934,26352149.0,0.76265007550052,603828.SH,2026-05-11
45.15,45.48,45.8,43.83,44.73,44.677246696563,-0.42,-0.93023255813954,44098997,1970221768.04,7.9015767605651,002364.SZ,2026-05-11
