pre_close,open,high,low,close,vwap,chg,pct_chg,volume,amt,turn,thscode,time
28.55,28.86,31.16,28.66,30.82,29.822523261825,2.27,7.9509632224168,186965338,5575778141.66,3.762105110196,300433.SZ,2026-05-11
35.27,37.01,39.17,37.01,38.11,38.187286250747,2.84,8.0521689821378,85123233,3250625265.16,15.096780458767,300398.SZ,2026-05-11
40.02,40.55,43.75,39.94,42.62,42.09150677847,2.6,6.4967516241879,78462098,3302587929.82,12.940703918855,000034.SZ,2026-05-11
