ts_code,time,open,close,high,low,vol,amount,pct_change,pct_change_1m
603063.SH,202605131125,61.86,61.86,61.86,61.86,1400,86604.0,9.99,0.0
603828.SH,202605131125,5.66,5.66,5.66,5.66,1000,5660.0,-3.9,0.0
000034.SZ,202605131125,42.66,42.58,42.66,42.58,88900,3787546.89,1.89,-0.14
